transaction_dt,unique_trx_id,item_code,item_sr_no,item_mfg_dt,sale_price,disc_price,store_no,store_name,customer_id,customer_name,city,state,zip
2020-12-01 08:12:45,TRX401,TV,SER12345,2020-11-01,1000.0,800.0,1,Electronics Emporium,CUST401,John Doe,New York,NY,10001.0
2020-12-02 10:30:22,TRX402,Mobile,MOB54321,2022-01-01 00:00:00,800.0,750.0,2,Online Electronics Store,CUST402,Jane Smith,Los Angeles,CA,90001.0
2020-12-03 13:45:17,TRX403,Fridge,FRD67890,2020-09-20,1200.0,0.0,3,Gadgets Galore,CUST403,Michael Johnson,Chicago,IL,60601.0
2020-12-04 11:20:55,TRX404,Microwave,2,2020-08-05,400.0,350.0,1,Electronics Emporium,CUST404,Emily Brown,Houston,TX,77001.0
2020-12-05 09:55:33,TRX405,Headphones,HDP24680,2020-07-15,0.0,80.0,2,Online Electronics Store,CUST405,Robert Wilson,Miami,FL,33101.0
2020-12-06 14:10:11,TRX406,Tablet,TBL13579,2022-01-01 00:00:00,600.0,550.0,3,Gadgets Galore,CUST406,Susan Martinez,San Francisco,CA,94101.0
2020-12-07 12:35:44,TRX407,TV,SER54321,2020-06-10,900.0,850.0,1,estore,CUST407,David Taylor,Dallas,TX,75201.0
2020-12-08 09:40:29,TRX408,Mobile,MOB98765,2020-05-05,700.0,650.0,2,Online Electronics Store,CUST408,Samantha Anderson,Seattle,WA,98101.0
2020-12-09 10:15:18,TRX409,Microwave,MIC75309,2022-01-01 00:00:00,350.0,300.0,3,Gadgets Galore,CUST409,Christopher Lee,Boston,MA,411002
2020-12-10 13:20:07,TRX410,Tablet,TBL97531,2020-03-20,550.0,500.0,1,Electronics Emporium,CUST410,Amanda White,Philadelphia,PA,19101.0
2023-01-01 08:12:45,TRX031,TV,SER12345,2022-12-01,1000.0,800.0,1,Electronics Emporium,CUST031,John Doe,New York,NY,10001
2023-01-02 10:30:22,TRX032,Mobile,MOB54321,2022-11-15,800.0,750.0,2,Online Electronics Store,CUST032,Jane Smith,Los Angeles,CA,90001
2023-01-03 13:45:17,TRX033,Fridge,FRD67890,2022-10-20,1200.0,1000.0,3,Gadgets Galore,CUST033,Michael Johnson,Chicago,IL,60601
2023-01-04 11:20:55,TRX034,Microwave,MIC98765,2022-09-05,400.0,350.0,1,Electronics Emporium,CUST034,Emily Brown,Houston,TX,77001
2023-01-05 09:55:33,TRX035,Headphones,HDP24680,2022-08-15,100.0,80.0,2,Online Electronics Store,CUST035,Robert Wilson,Miami,FL,33101
2023-01-06 14:10:11,TRX036,Tablet,TBL13579,2022-07-25,600.0,550.0,3,Gadgets Galore,CUST036,Susan Martinez,San Francisco,CA,94101
2023-01-07 12:35:44,TRX037,TV,SER54321,2022-06-10,900.0,850.0,1,Electronics Emporium,CUST037,David Taylor,Dallas,TX,75201
2023-01-08 09:40:29,TRX038,Mobile,MOB98765,2022-05-05,700.0,650.0,2,Online Electronics Store,CUST038,Samantha Anderson,Seattle,WA,98101
2023-01-09 10:15:18,TRX039,Microwave,MIC75309,2022-04-01,350.0,300.0,3,Gadgets Galore,CUST039,Christopher Lee,Boston,MA,2101
2023-01-10 13:20:07,TRX040,Tablet,TBL97531,2022-03-20,550.0,500.0,1,Electronics Emporium,CUST040,Amanda White,Philadelphia,PA,19101
2021-05-01 08:12:45,TRX301,TV,SER12345,2021-04-01,1000.0,800.0,1,Electronics Emporium,CUST301,John Doe,New York,NY,10001.0
2021-05-02 10:30:22,TRX302,Mobile,MOB54321,2021-03-15,800.0,750.0,2,Online Electronics Store,CUST302,Jane Smith,Los Angeles,CA,90001.0
2021-05-03 13:45:17,TRX303,Fridge,2,2021-02-20,1200.0,1000.0,3,Gadgets Galore,CUST303,Michael Johnson,Chicago,IL,60601.0
2021-05-04 11:20:55,TRX304,Microwave,MIC98765,2021-01-05,400.0,0.0,1,Electronics Emporium,CUST304,Emily Brown,Houston,TX,77001.0
2021-05-05 09:55:33,TRX305,Headphones,HDP24680,2020-12-15,0.0,80.0,2,Online Electronics Store,CUST305,Robert Wilson,Miami,FL,33101.0
2021-05-06 14:10:11,TRX306,Tablet,2,2020-11-25,600.0,550.0,3,Gadgets Galore,CUST306,Susan Martinez,San Francisco,CA,94101.0
2021-05-07 12:35:44,TRX307,TV,SER54321,2020-10-10,900.0,850.0,1,estore,CUST307,David Taylor,Dallas,TX,75201.0
2021-05-08 09:40:29,TRX308,Mobile,MOB98765,2020-09-05,700.0,650.0,2,Online Electronics Store,CUST308,Samantha Anderson,Seattle,WA,98101.0
2021-05-09 10:15:18,TRX309,Microwave,MIC75309,2022-01-01 00:00:00,350.0,300.0,3,Gadgets Galore,CUST309,Christopher Lee,Boston,MA,411002
2021-05-10 13:20:07,TRX310,Tablet,TBL97531,2020-07-20,550.0,500.0,1,Electronics Emporium,CUST310,Amanda White,Philadelphia,PA,19101.0
2024-04-01 08:12:45,TRX101,TV,SER12345,2022-01-01 00:00:00,1000.0,0.0,1.0,Electronics Emporium,CUST101,John Doe,New York,NY,411002
2024-04-02 10:30:22,TRX102,009,MOB54321,2022-01-01 00:00:00,800.0,0.0,2.0,Online Electronics Store,CUST102,Jane Smith,Los Angeles,CA,90001.0
2024-04-03 13:45:17,TRX103,Fridge,2,2022-01-01 00:00:00,1200.0,0.0,3.0,Gadgets Galore,CUST103,Michael Johnson,Chicago,IL,60601.0
2024-04-04 11:20:55,TRX104,Microwave,MIC98765,2022-01-01 00:00:00,400.0,0.0,001,Electronics Emporium,CUST104,Emily Brown,Houston,TX,77001.0
2024-04-05 09:55:33,TRX105,Headphones,HDP24680,2022-01-01 00:00:00,0.0,0.0,2.0,Online Electronics Store,CUST105,Robert Wilson,Miami,FL,33101.0
2024-04-06 14:10:11,TRX106,Tablet,TBL13579,2022-01-01 00:00:00,600.0,0.0,3.0,Gadgets Galore,CUST106,Susan Martinez,San Francisco,CA,94101.0
2024-04-07 12:35:44,TRX107,TV,SER54321,2022-01-01 00:00:00,900.0,0.0,1.0,estore,CUST107,David Taylor,Dallas,TX,75201.0
2024-04-08 09:40:29,TRX108,Mobile,MOB98765,2022-01-01 00:00:00,700.0,0.0,2.0,Online Electronics Store,1,Samantha Anderson,Seattle,WA,98101.0
